,Title,Phone,Website,Street Address,City,State,Zip,County,Specialty,Language Line Interpretation Services Available,Accepting New Clients,ADA Compliant,Telecommunication Device for the Deaf (TDD) equipment,Blocks from public tranportation,Miles from public tranportation,Spanish,Vietnamese,Tagalog,MandarinChinese,AmericanSignLanguage,YueChinese,Russian,Korean,Persian,Chinese,Armenian,Japanese,Arabic,Khmer,Hmong,Italian,Samoan,Ukrainian,Portuguese,Panjabi,Serves Children,Serves Adults,Open Hours
73,FREE AT LAST - WALKER HOUSE, (650) 462-6999,http://freeatlast.org/,1095 WEEKS ST,"A AND B											EAST PALO ALTO",CA,94303,San Mateo,"Substance Abuse Rehabilitation Facility, Non-Individual - Residential Treatment Facilities",Yes,Yes,1,0,,1,,,,,,,,,,,,,,,,,,,,,0,1,Monday through Sunday 12:00 AM to 12:00 PM
74,LATINO COMMISSION - CASA AZTLAN HOUSE, (650) 244-1444,https://www.thelatinocommission.org/bay-area,401 BRIARFIELD WY,REDWOOD CITY,CA,94002,San Mateo,"Substance Abuse Rehabilitation Facility, Non-Individual - Residential Treatment Facilities",No,Yes,1,0,,1,Good,,,,,,,,,,,,,,,,,,,,0,1,Monday through Sunday 12:00 AM to 12:00 PM
75,LATINO COMMISSION - CASA MARIA HOUSE, (650) 244-1444,https://www.thelatinocommission.org/bay-area,508 7TH AVE,SAN BRUNO,CA,94066,San Mateo,"Substance Abuse Rehabilitation Facility, Non-Individual - Residential Treatment Facilities",No,Yes,0,0,,1,Good,,,,,,,,,,,,,,,,,,,,0,1,Monday through Sunday 12:00 AM to 12:00 PM
76,LATINO COMMISSION - ENTRE FAMILIA, (650) 244-1444,https://www.thelatinocommission.org/bay-area,1001 SNEATH LN Suite 210,SAN BRUNO,CA,94066,San Mateo,"Substance Abuse Rehabilitation Facility, Non-Individual - Ambulatory Health Care Facilities",No,Yes,1,0,1,,Good,,,,,,,,,,,,,,,,,,Good,,0,1,Monday through Friday 08:00 AM to 05:00 PM
77,OUR COMMON GROUND - EAST PALO ALTO RESIDENTIAL, (650) 325-6466,https://ocgworks.org/,2560 PULGAS AVE,EAST PALO ALTO,CA,94303,San Mateo,"Substance Abuse Rehabilitation Facility, Non-Individual - Residential Treatment Facilities",Yes,Yes,1,0,1,,Good,,,,,,Good,,,,,,,,,,,,,,0,1,Monday through Sunday 12:00 AM to 12:00 PM
78,OUR COMMON GROUND - REDWOOD CITY, (650) 367-9030,https://ocgworks.org/,26 CENTRAL AVENUE,REDWOOD CITY,CA,94061,San Mateo,"Case Management Agency, Non-Individual - Ambulatory Health Care Facilities",Yes,Yes,1,0,1,,Good,,,,,,Good,,,,,,,,,,,,,,0,1,Monday through Friday 08:00 AM to 05:00 PM
79,SITIKE, (650) 589-9305,https://www.sitike.org/,306 SPRUCE AVE,SOUTH SAN FRANCISCO,CA,94080,San Mateo,"Community/Behavioral Health Agency, Non-Individual - Ambulatory Health Care Facilities",Yes,Yes,1,0,1,,Good,,Good,,,,,,,,,,,,,,,,,,0,1,Monday through Thursday 09:00 AM to 08:30 PMFriday 09:00 AM to 02:00 PM
80,SERVICE LEAGUE OF SAN MATEO COUNTY - HOPE HOUSE, (650) 363-8735,https://serviceleague.org/get-help/hope-house-residential-treatment/,3789 HOOVER ST,REDWOOD CITY,CA,94063,San Mateo,"Substance Abuse Rehabilitation Facility, Non-Individual - Residential Treatment Facilities",Yes,Yes,1,0,5,,Good,,,,,,,,,,,,,,,,,,,,0,1,Monday through Friday 09:00 AM to 05:00 PM
81,FORT HELP NARCOTICS REPLACEMENT THERAPY - BRYANT, (415) 777-9953,https://www.americanhealthservices.org/san-francisco-ca-94103.html,915 BRYANT ST,SAN FRANCISCO,CA,94103,San Francisco,"Methadone Clinic, Non-Individual - Ambulatory Health Care Facilities",Yes,Yes,1,0,1,,Good,,,,,,,,,,,,,,,,,,,,0,1,Monday through Friday 06:15 AM to 01:45 PM
82,FORT HELP NARCOTICS REPLACEMENT THERAPY- CAPP MISSION, (415) 821-1427,https://www.americanhealthservices.org/san-francisco-ca-94110.html,1101 CAPP ST,SAN FRANCISCO,CA,94110,San Francisco,"Methadone Clinic, Non-Individual - Ambulatory Health Care Facilities",Yes,Yes,1,0,1,,Good,,,,,,,,,,,,,,,,,,,,0,1,Monday through Friday 06:00 AM to 02:30 PM
83,LIFELINE TREATMENT SERVICES, (510) 777-8448,https://www.americanhealthservices.org/oakland-california.html,10429 INTERNATIONAL BLVD,OAKLAND,CA,94603,Alameda,"Methadone Clinic, Non-Individual - Ambulatory Health Care Facilities",Yes,Yes,1,0,1,,Good,,,,,,,,,,,,,,,,,,,,0,1,Monday through Friday 06:00 AM to 02:30 PM
84,HORIZON SERVICES- PALM AVENUE DETOX, (650) 345-7023,https://horizonservices.org/palm-avenue/,2251 PALM AVE,SAN MATEO,CA,94403,San Mateo,"Substance Abuse Rehabilitation Facility, Non-Individual - Ambulatory Health Care Facilities",No,Yes,1,0,1,,Good,Good,,,,,,,,Good,,,,,,,,,,Good,1,1,Monday through Sunday 12:00 AM to 12:00 PM
